                 res               x                y               z
            70.67377        40.68247        112.57263     -1913.41846
            24.32392       151.87444       1843.67456     -1656.53174
            35.57788       109.29858       -953.72314     -1802.84082
            31.57402       328.72400       -374.97693     -1443.32520
            10.42890       200.09924       1934.96924     -1618.56335
            30.63645       213.42393       -856.71533     -1934.36426
            53.66047        12.02561        612.73871     -1935.52100
            30.68603       337.83008       -855.90826     -1626.01709
             2.68000       288.50412       1182.24658     -1357.92419
            40.34373       146.15540       1572.72815     -1546.24023
             8.61951       116.67181        733.27594     -1510.68579
            39.04859       130.73721      -1166.86487     -1856.90845
           400.84052       269.32190       -215.19904     -1994.91907
           260.04684       117.54258       -276.62607     -2022.57288
           410.55267       290.17792       -381.57089     -2100.37842
            31.41779       248.17795        925.27618     -1692.54248
            31.45169       282.74719       -899.93304     -1738.16479
            50.42208       301.52090       -223.94267     -1643.47803
             6.15304         5.94437        849.70282     -1585.10913
           142.93634       256.26077        750.75464     -1896.99414
             4.35550       176.85361       1851.16040     -1235.38245
            12.96051        51.68096       1094.13562     -1804.01282
            48.78349        48.61157      -1577.22034     -1894.05359
            41.26135       370.35226      -1417.47070     -1978.38086
            46.18417       136.43970      -1430.82324     -1946.69641
            50.10656       253.74338      -1659.86597     -1835.45947
           405.66385       372.31216       -429.74765     -1982.84167
             9.33928       263.17899        259.63922     -1686.67297
            34.87640        32.42347        694.45709     -1909.00000
           169.75742        12.14100        286.58173     -2069.80615
            38.33248       196.34024      -1758.76025     -1682.49341
            65.69860       157.17697      -1441.28198     -1108.71704
            23.96281       137.51874       -509.40625     -1339.98193
            23.79087       162.76610       1811.28467     -1664.68054
             6.82873       230.33124        230.16219       669.63269
            85.51095       216.22810         12.17164     -2099.21069
            39.24555       161.27148      -1195.99170     -1678.52612
           434.61057       272.94293       -256.16327     -2086.02368
            15.08395       270.86716       1556.71289      -222.93431
           170.93504        81.44426        141.64911     -2025.21289
             6.14086       294.06415        879.35944     -1051.79675
            27.06913       341.98523      -1048.96692     -1947.24426
             6.87349       151.81970       1629.09863     -1284.00684
            16.40265       252.37183      -1973.53662     -1799.29736
            46.12234       110.83934      -1611.92859     -1845.04883
             4.00083       286.53711        -16.30970      -421.75320
            37.33426        81.05303       1757.13501     -1625.95288
            10.81822        48.77857        528.38422     -1612.24902
           531.19971       338.84888       -283.86560     -2098.05127
             5.95868        65.17208        829.11475     -1648.90796
            27.07635       109.63926      -1135.15796     -1950.90955
            49.83991       138.05237        342.92294     -1920.89307
           232.26773       341.68747        292.46417     -2068.07593
            36.51960       213.63417        578.30609     -1867.62866
            35.92039       234.98761       1456.75024     -1594.45813
            25.99779       123.50661       -967.07672     -1929.47461
            30.68367       221.88336       -802.01569     -1714.71521
            91.62044       162.45041        765.75385     -1905.73462
            26.72607       317.30978        227.31610     -1737.81238
             2.83256        82.87140       1298.06494     -1448.52039
             7.43853       304.84344        581.76337     -1587.74280
           502.72183       368.06784       -320.40500     -2057.30176
            30.26486       105.49918       -805.87830     -1929.89600
            24.47010        24.31408      -1083.53345     -1984.60889
             7.55091        19.23956       1103.22766      -333.84286
             6.14962       120.62737        834.85791     -1664.13696
            11.15098        17.32659        924.81299     -1806.85693
            58.84101       192.25310       -718.11078     -2044.47717
            47.47818        31.49541      -1252.60327     -1846.31482
             3.08670       298.47888        216.27167      -268.35974
            55.19027        44.93739        375.94696     -1925.05176
            78.18128        81.28625       1527.62744     -1748.44666
            53.13181        28.05637        -92.56053     -2102.44702
            33.30796        54.44930      -1162.63782     -1980.94702
            41.48816        50.06990       1597.58008     -1660.23828
            20.12531       108.25517       1478.08154     -1545.64026
             6.22213       340.47913        883.01550      -978.91168
            42.60931       167.85724      -1917.03455     -1573.91797
            33.50547        62.90093        704.40155     -1815.42383
            13.71355       395.78308       1786.42163     -1652.78394
            93.34339       149.75406      -1719.24463     -1143.26282
            47.30816        55.23708       1444.42126     -1747.96643
           260.04684       175.51651       -262.28983     -2088.27441
             9.98279        13.74932       -526.57990      -677.12329
           502.72183       384.20712       -343.01224     -2058.85840
            12.96051        79.93198       1141.53003     -1797.31384
            44.35988        85.92606       1659.90161     -1724.49438
            46.75418        52.73347        707.90985     -1872.25977
            46.75418        72.92593        696.96216     -1913.07788
            42.75840       134.19789       1353.59131     -1712.46582
            44.16167        24.64266       1575.60840     -1739.45288
            34.17237       247.97829       -829.17432     -1680.02417
            94.45995       104.87488      -1915.48877     -1008.94116
            71.18200       160.26402        868.38074     -1844.77051
            19.91179        49.70205         35.08092     -1160.06665
            36.51960       177.84955        570.92444     -1887.47705
            84.05645        24.70596       -409.10745     -1866.44629
           189.21011        38.97527       -293.05295     -2056.21924
            20.21049        53.85363         14.36177     -1230.51758
           193.11119        55.53883        163.53091     -1998.59351
            83.10435       262.88574       -454.39508     -1809.99866
            18.70231        16.23390        652.48499     -1797.03345
            43.50910         9.80876       1507.49524     -1729.71436
            30.29065       317.71509      -1179.67676     -1930.19897
            29.42646       171.57710       -662.80042     -1605.27002
           213.19482       399.89651         -7.22908     -1975.12646
            64.12390       144.75009      -1815.73669     -1356.79590
             4.12177        58.09101       1255.96252     -1479.81494
            77.97038       206.95166        610.77350     -1956.66223
            19.25953       311.21100       1545.65784     -1565.88135
             4.39341         2.78876       1252.42017     -1519.16797
            41.26135       337.48566      -1421.19250     -1946.25891
            22.59079       125.09686       -987.43146     -1998.13806
             7.69722       112.17252       1259.34033     -1610.17065
           454.38528       373.11215       -166.63351     -2068.66479
            70.67377        38.61310         88.31277     -1932.35083
            70.72245       185.75777        637.12946     -1902.47791
           221.94109        76.27557        177.81265     -2075.83154
           226.58194       286.00787        212.80067     -2045.57227
            30.86137       150.09775       -859.54401     -2013.48364
            31.75680        92.06619        865.71747     -1841.51147
            67.71568       165.25275         57.08143     -2089.68359
            83.09396        68.31166       -565.56787     -2091.17700
            39.13137        41.24597      -1007.30804     -1814.69763
             6.91428       253.21335        238.50702       917.01758
           171.61368        96.17120       -280.25821     -1917.36877
            28.58778       287.78488       -582.57617     -1566.44141
            70.43372        89.00524       -535.27502     -1964.34607
           142.35182       219.68958        810.62891     -1889.44250
           114.85994        34.80200        109.63247     -2091.13794
           120.19283       109.28969        382.36432     -2059.43652
            16.39150        95.08514       1491.96191     -1480.23987
             4.29046       105.76622       1379.04187     -1448.60046
            10.91157       198.83725       1361.79639     -1434.28040
           434.61057       249.62283       -256.33795     -2062.88818
            44.19622       204.75153        980.34741     -1846.20154
            42.75840        83.39356       1353.38574     -1737.34399
            46.76987         4.16094        388.22455     -1865.71191
            46.75601       283.32397      -1785.13745     -1781.03613
            11.89907       317.42447       1467.06982     -1498.41125
            39.81403       390.20523       1530.57190     -1644.57361
            57.50857       362.11304      -1901.37964     -1804.05273
            30.27610       269.22534      -1236.37805     -1919.64636
            43.75916        47.73823       1476.66113     -1746.91479
            66.63499       154.64680        554.43604     -1949.69751
            21.45534       380.73865         53.18224     -1453.54578
             1.81988       130.18417       -497.03687      -327.44513
            23.79087       181.75620       1858.19604     -1652.18518
            54.37988       350.28372      -1498.62915     -1707.80371
           110.24697       202.15462         60.97743     -2081.59595
            24.32392        97.84329       1894.34106     -1621.80725
            16.27030        69.66951      -1905.19128     -1814.13354
            21.52048       164.61758       1422.49438     -1546.27051
            42.04413       384.94580      -1436.68567     -1874.28955
           333.53839       245.66925       -163.76318     -2075.68311
           193.11119        80.64594        165.52400     -2012.40234
            80.13703       276.24524      -1658.36353     -1554.35266
            20.71021       144.50659       1282.27710     -1779.07263
            21.51225       158.04832       -486.59781     -1473.08105
            19.35362       154.24573        347.39435     -1741.12390
            22.81735        85.78711       -654.10687     -1038.96606
            81.69098        26.84851       -178.04587     -1854.77832
            40.19540       256.19470        513.86938     -1896.96472
           221.94109        96.00491        173.30376     -2053.57812
            12.80209       216.94720       1797.93799     -1520.78809
            38.12835        47.65276        841.10425     -1875.38843
           142.35182       248.10825        809.58984     -1886.17725
